"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Length;Characteristics:Guests;Characteristics:Cabins;Characteristics:Crew;Characteristics:Year;Weight;Length;Width;Height;Unit;Portion;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr"
743265588071;;A100005;;;"Azure 48 Hybrid Saloon Express - Fire - Twin Yanmar 485HP (up to 38 knots) - 60KWH (2 hours pure electric)";;;;500.00;10;;"Color:Fire;Engine:Twin Yanmar 485HP (up to 38 knots);Battery:60KWH (2 hours pure electric)";;"""";851303711451;;;;;;2147483647;0;0;0;;;;;;;
534129075081;;A100006;;;"Azure 48 Hybrid Saloon Express - Spirit - Twin Yanmar 485HP (up to 38 knots) - 60KWH (2 hours pure electric)";;;;500.00;10;;"Color:Spirit;Engine:Twin Yanmar 485HP (up to 38 knots);Battery:60KWH (2 hours pure electric)";;"""";851303711451;;;;;;2147483647;0;0;0;;;;;;;
907666628912;Azure;;Electric;"Yacht Charters;Motor Yachts;30-40ft";"eMotion 36 Hybrid";"Length: 36ft | Guests: 12 | Cabins: 1";"<ol><li data-list=""ordered"">Introduction#nbsp;highlighting the yacht as#nbsp;a pioneer in sustainable yachting</li><li data-list=""ordered"">Detailed explanation of the#nbsp;hybrid propulsion system:</li></ol><ul><li data-list=""bullet"">Electric#nbsp;mode capabilities (2 hours at#nbsp;6 knots with zero emissions)</li><li data-list=""bullet"">Perfect scenarios for using electric mode (secluded coves, wildlife watching)</li><li data-list=""bullet"">Seamless transition to diesel for longer range and higher speeds</li></ul><ol><li data-list=""ordered"">Interior layout and features:</li></ol><ul><li data-list=""bullet"">Two#nbsp;private cabins for 6 guests</li><li data-list=""bullet"">Well-appointed head with electric toilet</li><li data-list=""bullet"">Salon area with panoramic windows</li><li data-list=""bullet"">Natural#nbsp;light emphasis</li></ul><ol><li data-list=""ordered"">Exterior spaces:</li></ol><ul><li data-list=""bullet"">Spacious aft#nbsp;deck for al fresco dining</li><li data-list=""bullet"">Forward sunpad for sunbathing</li></ul><ol><li data-list=""ordered"">Construction#nbsp;details:</li></ol><ul><li data-list=""bullet"">Built by Azure Yachts in 2018</li><li data-list=""bullet"">Advanced eco-friendly features like battery monitoring and energy-efficient lighting</li><li data-list=""bullet"">Solar charging capabilities</li></ul><ol><li data-list=""ordered"">Target#nbsp;audience appeal:</li></ol><ul><li data-list=""bullet"">Environmental consciousness</li><li data-list=""bullet"">Appreciation for silent cruising</li><li data-list=""bullet"">Interest#nbsp;in cutting-edge marine technology</li></ul><br /><br />";https://static.tildacdn.com/stor6635-6666-4562-b836-333831373831/60223942.jpg;;;;;;"""";;;;;;;0;0;0;0;;0;"Charter eMotion 36 Hybrid Yacht | Azure Yacht Group";;"yacht charter, hybrid yacht, eco-friendly boating, eMotion 36, electric yacht";;
828727800272;;36EMO36-4H;;;"eMotion 36 Hybrid - Half-Day (4h) - Standard";;;;1800.00;0;;"Charter Duration:Half-Day (4h);Package Type:Standard";;BhpnZ73oNnBhLThIhFFA;907666628912;;;;;;0;0;0;0;;;;;;;
492027091282;;36EMO36-8H;;;"eMotion 36 Hybrid - Full-Day (8h) - Standard";;;;2300.00;0;;"Charter Duration:Full-Day (8h);Package Type:Standard";;dK2s4Kz0E0UMsEZyo9ma;907666628912;;;;;;0;0;0;0;;;;;;;
794994219452;;36EMO36-WKND;;;"eMotion 36 Hybrid - Weekend (2d) - Standard";;;;4500.00;0;;"Charter Duration:Weekend (2d);Package Type:Standard";;U9iHjrEERiuBjLoL1Rb1;907666628912;;;;;;0;0;0;0;;;;;;;
517174086612;;36EMO36-WEEK;;;"eMotion 36 Hybrid - Weekly (7d) - Standard";;;;18000.00;0;;"Charter Duration:Weekly (7d);Package Type:Standard";;VhGgv6b9uz9spevI5Y5s;907666628912;;;;;;0;0;0;0;;;;;;;
105638543912;Azimut;;EXCLUSIVE;"Motor Yachts;Yacht Charters;Featured Yachts";"Azimut 64 'Deon'";"Length: 64ft | Guests: 12 | Cabins: 3<br />15% Discount on 4h Charters!";"Luxury motor yacht with excellent amenities and elegant Italian design.";https://static.tildacdn.com/stor3430-3765-4432-b566-626430353235/14832746.jpg;;;;;;EfYboUs2JSn2oiBy7kig;;64;12;3;2;2020;0;0;0;0;;0;"Charter Azimut 64 'Deon' | Luxury Motor Yacht Rental";;"azimut yacht charter, luxury yacht rental, 64 foot yacht, motor yacht, italian yacht";;
265218446322;;AZ64-DEON-1;;;"Azimut 64 'Deon' - Half-Day (4h)";;;;2700.00;;2900;"Charter Duration:Half-Day (4h)";;xUOb6EjKY6kxMLHeIH4M;105638543912;;;;;;0;0;0;0;;;;;;;
381856399462;;AZ64-DEON-2;;;"Azimut 64 'Deon' - Half-Day (6h)";;;;3900.00;;4100;"Charter Duration:Half-Day (6h)";;BZK56ncN815rxvAtNENY;105638543912;;;;;;0;0;0;0;;;;;;;
849959739482;;AZ64-DEON-3;;;"Azimut 64 'Deon' - Full-Day (8h)";;;;4800.00;;5100;"Charter Duration:Full-Day (8h)";;CcHe3dTr1vcnfGyM9eSK;105638543912;;;;;;0;0;0;0;;;;;;;
319795922752;Prestige;;EXCLUSIVE;"Motor Yachts;Yacht Charters;Featured Yachts;Miami";"Prestige 420 Flybridge";"Length: 42ft | Guests: 12 | Cabins: 2<br />Free Bottle of Rose with any booking!";"Spacious flybridge yacht with modern design and excellent attention to detail.";https://static.tildacdn.com/stor3563-6231-4861-b638-646438626434/97791342.jpg;;;;;;mJv31pGolyah0lhg64xf;;;;;;;0;0;0;0;;0;"Charter Prestige 420 Flybridge Yacht | Day Cruiser";;"prestige yacht charter, flybridge yacht, 42 foot yacht, day charter, overnight yacht rental";;
366880309672;;PR420-1;;;"Prestige 420 Flybridge - Half-Day (4h)";;;;1600.00;;1800;"Charter Duration:Half-Day (4h)";;mt0pg7lmpLvTyO2aTAyU;319795922752;;;;;;0;0;0;0;;;;;;;
331098932482;;PR420-2;;;"Prestige 420 Flybridge - Half-Day (6h)";;;;2100.00;;2400;"Charter Duration:Half-Day (6h)";;TgPeACviBhbvS4nB2lra;319795922752;;;;;;0;0;0;0;;;;;;;
829799857912;;PR420-3;;;"Prestige 420 Flybridge - Full-Day (8h)";;;;3000.00;;3300;"Charter Duration:Full-Day (8h)";;35S3j0T0SNaz5kucbi9k;319795922752;;;;;;0;0;0;0;;;;;;;
578272864312;Galeon;;;"Motor Yachts;Yacht Charters";"Galeon 425 HTS";"Length: 42ft | Guests: 12 | Cabins: 2";"Contemporary hardtop sport cruiser with innovative features and sleek lines.";https://static.tildacdn.com/stor3035-3737-4732-b365-623132316333/52714340.jpg;;;;;;zfkTHGu4eN0CnxxIuXux;;;;;;;0;0;0;0;;0;"Charter Galeon 425 HTS | Sport Cruiser Yacht Rental";;"galeon yacht charter, sport cruiser rental, hardtop yacht, drop-down balcony yacht, weekend yacht charter";;
774704537222;;GL426;;;"Galeon 425 HTS - Half-Day (4h)";;;;1600.00;;1800;"Charter Duration:Half-Day (4h)";;F1pC6YNGvXOlvJMeOV3K;578272864312;;;;;;0;0;0;0;;;;;;;
803712054682;;GL427;;;"Galeon 425 HTS - Half-Day (6h)";;;;2200.00;;2400;"Charter Duration:Half-Day (6h)";;bFhC4TY8MSRvC6PR59Km;578272864312;;;;;;0;0;0;0;;;;;;;
114608877592;;GL428;;;"Galeon 425 HTS - Full-Day (8h)";;;;3100.00;;3400;"Charter Duration:Full-Day (8h)";;G52tMMbeieJEzYy1nmiv;578272864312;;;;;;0;0;0;0;;;;;;;
652757703942;Searay;;;"Motor Yachts;60-80ft;Yacht Charters";"Searay Sundancer 60";"Length: 60ft | Guests: 12 | Cabins: 3";"Luxurious express cruiser with spacious layout and elegant American design.";https://static.tildacdn.com/stor3037-6330-4231-b038-366262346537/65847836.jpg;;;;;;uRPRHZdcEEMyFZ76Ppkm;;;;;;;0;0;0;0;;0;"Charter Searay Sundancer 60 | Express Cruiser Yacht Rental";;"searay yacht charter, sundancer 60, express cruiser rental, luxury american yacht, 60 foot yacht charter";;
913718671102;;SR60-1;;;"Searay Sundancer 60 - Half-Day (4h)";;;;2500.00;;2700;"Charter Duration:Half-Day (4h)";;rbxZXcS8SZMauflk7PpX;652757703942;;;;;;0;0;0;0;;;;;;;
570930423362;;SR60-2;;;"Searay Sundancer 60 - Half-Day (6h)";;;;3200.00;;3400;"Charter Duration:Half-Day (6h)";;1kfaPgAHXVOdD6JHdzD9;652757703942;;;;;;0;0;0;0;;;;;;;
170500406012;;SR60-3;;;"Searay Sundancer 60 - Full-Day (8h)";;;;4000.00;;4200;"Charter Duration:Full-Day (8h)";;mVKaMRVNKlu9Zurd5ToR;652757703942;;;;;;0;0;0;0;;;;;;;
318206333932;Azimut;;NEW;"Motor Yachts;60-80ft;Yacht Charters";"Azimut 65 'Elegance'";"Length: 65ft | Guests: 12 | Cabins: 4";"Luxurious Italian-built motor yacht with elegant styling, spacious flybridge, and exceptional entertaining areas. Perfect for extended cruising with family and friends.";https://static.tildacdn.com/stor6332-6539-4937-a333-663133613465/23778960.jpg;;;;;;lSEJZdKIHGtzupZs08g6;;65;12;4;;;0;0;0;0;;0;"Charter Azimut 65 'Elegance' | Luxury Motor Yacht Rental";"Luxurious Italian-built motor yacht with elegant styling, spacious flybridge, and exceptional entertaining areas. Perfect for extended cruising with family and friends.";"azimut 65 yacht charter, luxury motor yacht rental, italian yacht, flybridge yacht, 65 foot yacht rental";"Charter Azimut 65 'Elegance' | Luxury Motor Yacht Rental";"Luxurious Italian-built motor yacht with elegant styling, spacious flybridge, and exceptional entertaining areas. Perfect for extended cruising with family and friends."
102259176402;;AZ66;;;"Azimut 65 'Elegance' - Half-Day (4h)";;;;2800.00;;;"Charter Duration:Half-Day (4h)";;o7jle6gNAtufpV7AgdZL;318206333932;;;;;;0;0;0;0;;;;;;;
606286999302;;AZ68;;;"Azimut 65 'Elegance' - Half-Day (5h)";;;;3300.00;;;"Charter Duration:Half-Day (5h)";;pCDTRnjpjvbkA48VK1tF;318206333932;;;;;;0;0;0;0;;;;;;;
959427140042;;AZ69;;;"Azimut 65 'Elegance' - Half-Day (6h)";;;;3800.00;;;"Charter Duration:Half-Day (6h)";;mL5gzyc58fFhUXVtjl9B;318206333932;;;;;;0;0;0;0;;;;;;;
126624011662;;AZ68;;;"Azimut 65 'Elegance' - Full-Day (7h)";;;;4200.00;;;"Charter Duration:Full-Day (7h)";;9aHnXHlgSUtlY6aafzJ5;318206333932;;;;;;0;0;0;0;;;;;;;
354736218142;;AZ67;;;"Azimut 65 'Elegance' - Full-Day (8h)";;;;4400.00;;;"Charter Duration:Full-Day (8h)";;2zAcaFo7A2REYH6Xrr8V;318206333932;;;;;;0;0;0;0;;;;;;;
580830513222;Beneteau;;NEW;"Motor Yachts;Yacht Charters;30-40ft";"Beneteau Grand Turismo 38";"Length: 38ft | Guests: 8 | Cabins: 2";"Elegant sport cruiser with exceptional comfort and excellent handling characteristics. Featuring a sleek design and spacious cockpit for day cruising and weekend getaways.";https://static.tildacdn.com/stor3834-6330-4434-b931-303835333534/98634106.jpg;;;;;;6T34gmcgXf67PmPaGFMC;;;;;;;0;0;0;0;;0;"Charter Beneteau Grand Turismo 38 | Sport Cruiser Rental";;"beneteau yacht charter, grand turismo 38, french yacht rental, day cruiser, sport cruiser charter";;
202310448302;;GT39;;;"Beneteau Grand Turismo 38 - Half-Day (4h)";;;;1500.00;;1600;"Charter Duration:Half-Day (4h)";;BYasVpI3sbsTrZ9tNuPy;580830513222;;;;;;0;0;0;0;;;;;;;
621032270072;;GT310;;;"Beneteau Grand Turismo 38 - Half-Day (6h)";;;;2000.00;;2100;"Charter Duration:Half-Day (6h)";;14VVrLLTUF6C7fAganjM;580830513222;;;;;;0;0;0;0;;;;;;;
210863849762;;GT310-3;;;"Beneteau Grand Turismo 38 - Full-Day (8h)";;;;2300.00;;2400;"Charter Duration:Full-Day (8h)";;K3COdIVucNHF3spGx5Xt;580830513222;;;;;;0;0;0;0;;;;;;;
810822764382;"Bilgin Yachts";;EXCLUSIVE;"Motor Yachts;80ft+;Yacht Charters;Featured Yachts";"Eternal Spark";"Length: 50m | Guests: 12 | Cabins: 6<br />Exclusive VIP Package";"The newest superyacht from Bilgin built specifically for charter experiences with innovative design and unique layout.";https://static.tildacdn.com/stor3531-3662-4335-b539-303633633033/66063123.jpg;;;;;;j80yBC6DxaIf86aHhRLy;;;12;6;10;2022;0;50;0;0;;0;;;;;
388510145922;;ES-W-BASIC;;;"Eternal Spark - Weekly (7d)";;;https://static.tildacdn.com/stor3531-3662-4335-b539-303633633033/66063123.jpg;334800.00;;349800;"Charter Duration:Weekly (7d)";;sgAlIIMlx91KLOFBenxY;810822764382;;;;;;0;0;0;0;;;;;;;
904635476802;;ES-W-PREMIUM;;;"Eternal Spark - Weekly (7d)";;;https://static.tildacdn.com/stor6364-6263-4236-a463-623133366138/25663015.jpg;349800.00;;365000;"Charter Duration:Weekly (7d)";;KomZDb5eDdZStOpMRlZP;810822764382;;;;;;0;0;0;0;;;;;;;
665142958322;;ES-D-BASIC;;;"Eternal Spark - Half Week (4d)";;;https://static.tildacdn.com/stor6364-6263-4236-a463-623133366138/25663015.jpg;55000.00;;199000;"Charter Duration:Half Week (4d)";;Ms12iINH0mZ3GhkB5nmF;810822764382;;;;;;0;0;0;0;;;;;;;
227457221972;;ES-D-PREMIUM;;;"Eternal Spark - Half Week (5d)";;;https://static.tildacdn.com/stor6364-6263-4236-a463-623133366138/25663015.jpg;65000.00;;249000;"Charter Duration:Half Week (5d)";;xjftv60E20tgSBnP7OaL;810822764382;;;;;;0;0;0;0;;;;;;;
141414411732;Azimut;;PREMIUM;"Motor Yachts;Yacht Charters;Featured Yachts";"Azimut 70 'Drakkar'";"Experience unparalleled luxury aboard this meticulously maintained Azimut 70 Evolution. Select your preferred charter option below or contact us for a tailored experience.";"Step aboard this magnificent Azimut 70 and discover the perfect blend of luxury and performance. Featuring a sophisticated interior with premium finishes, expansive salon with panoramic windows, gourmet galley, and sumptuous master suite. The spacious flybridge offers alfresco dining, wet bar, and sun loungers. Twin MAN V12 engines deliver exhilarating performance while maintaining exceptional comfort.";;;1;;;;EfDrKkr2dRak;;70;8;4;2;2012;45000;70;19;20;PCE;1;"Azimut 70 'Drakkar' Luxury Yacht Charter | Miami";"Experience the ultimate luxury aboard this meticulously maintained 70ft Azimut Evolution featuring 4 staterooms, twin MAN 1360hp engines, and elite amenities.";"luxury yacht charter miami, azimut 70, private yacht rental";;
641424361092;Azimut;;PREMIUM;"Motor Yachts;Yacht Charters";"Azimut 'Alana Rose'";"Discover the perfect balance of comfort and performance aboard 'Alana Rose'. Choose your preferred charter duration below or contact us for a customized experience.";"'Alana Rose' represents the pinnacle of mid-sized luxury yachting. Her sophisticated salon offers plush seating and entertainment systems, while the expertly designed galley serves delicious meals to be enjoyed in the formal dining area or alfresco on the aft deck. The three well-appointed cabins provide comfortable accommodations with premium linens and en-suite facilities.";;;1;;;;ALr8NaRs2e3b;;55;6;3;1;2015;32000;55;15;18;PCE;1;"Azimut 'Alana Rose' Luxury Yacht Charter | Miami";"Experience the elegance of 'Alana Rose', a beautiful 55ft Azimut yacht with 3 luxury cabins, perfect for unforgettable Miami charters.";"miami yacht rental, azimut yacht charter, luxury boat miami";;
